# tank_end_downstream
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Edep VisibleEdep Ntracks
-25.0354 -8.7799 1200 -122.198 -39.1935 1206.1 4.25338 2112 1 1015 1 1 0 0 1 
33.5836 -69.5137 1200 169.347 -358.928 1334.64 4.24181 2112 1 1016 1 1 0 0 1 
13.3648 -43.5864 1200 53.9215 -183.615 1097.99 4.03998 211 1 1017 1 1 1.41489e-25 1.41489e-25 1 
34.5009 -0.567981 1200 154.068 -2.19784 1154.23 4.03371 211 1 1019 1 1 1.41116e-25 1.41116e-25 1 
231.653 5.94044 1200 45.6521 1.17238 56.037 19.0315 2112 2 1021 1 1 0 0 1 
31.0145 -5.00618 1200 10.7814 -1.72733 98.4237 12.1815 2112 2 1028 1 1 0 0 1 
125.499 126.304 1200 49.4137 49.6744 111.896 11.1187 2112 2 1037 1 1 0 0 1 
61.9663 86.1112 1200 133.915 185.66 613.39 4.8427 2112 2 1069 1 1 0 0 1 
-188.579 -107.046 1200 -353.887 -199.543 532.748 5.1151 2212 2 1070 1 1 3.92135e-25 3.92135e-25 1 
-193.87 62.3723 1200 -25.7677 8.33727 36.712 26.6663 2112 2 1077 1074 1 0 0 1 
-226.669 -55.3925 1200 -38.9312 -9.4965 47.4248 21.3639 2112 2 1079 1074 1 0 0 1 
-52.5823 35.937 1200 -12.6764 8.78924 67.0057 16.0364 2112 2 1080 1074 1 0 0 1 
86.9532 104.054 1200 21.903 26.129 69.06 15.6604 2112 2 1081 1074 1 0 0 1 
141.709 -166.509 1200 67.8841 -79.4122 131.595 9.7797 2112 2 1085 1074 1 0 0 1 
54.4679 70.5053 1200 52.5718 67.6974 263.812 6.52593 2112 2 1086 1074 1 0 0 1 
127.457 -22.2938 1200 1273.74 -222.902 2841.21 4.11454 -211 2 1090 1 1 1.67858e-25 1.67858e-25 1 
155.908 -53.5566 1200 28.6383 -10.1232 56.4762 19.8593 2112 3 1022 1 1 0 0 1 
110.467 -143.643 1200 33.0438 -44.1059 92.5379 13.336 2112 3 1031 1 1 0 0 1 
-53.6548 189.164 1200 -18.8118 63.3529 101.856 12.4076 2112 3 1035 1 1 0 0 1 
-11.596 90.8279 1200 -8.00719 51.9307 174.632 8.54708 2112 3 1054 1 1 0 0 1 
181.216 -131.095 1200 148.01 -108.993 250.665 6.99222 2212 3 1067 1 1 1.19638e-24 1.19638e-24 1 
-52.8381 210.738 1200 -52.7169 200.849 289.853 4.34388 -211 3 1075 1 1 1.70825e-25 1.70825e-25 1 
63.2837 192.801 1200 58.6358 203.438 307.046 4.32559 211 3 1077 1076 1 1.68064e-25 1.68064e-25 1 
-18.0215 179.222 1200 -54.2233 476.363 808.16 4.66892 2212 3 1083 1 1 2.53675e-25 2.53675e-25 1 
59.4757 -171.412 1200 175.638 -513.758 905.05 4.58705 2212 3 1086 1085 1 2.30814e-25 2.30814e-25 1 
1.16458 -154.295 1200 -2.61362 -318.489 622.531 4.16637 -211 3 1088 1 1 1.51798e-25 1.51798e-25 1 
57.8455 -51.8576 1200 317.825 -300.591 1732.27 4.18603 2212 3 1089 1 1 1.53828e-25 1.53828e-25 1 
34.9378 181.981 1200 6.44966 33.2107 50.2791 20.2559 2112 4 1013 1 1 0 0 1 
-69.5875 -47.723 1200 -14.7537 -10.2884 58.4588 17.8567 2112 4 1015 1 1 0 0 1 
