# tank_end_upstream
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Edep VisibleEdep Ntracks
0.66724 -0.611159 795 0 0 8888.89 2.66652 2212 1 1 0 1 1.41363e-25 1.41363e-25 1 
170.584 79.649 800 51.6799 24.4031 -43.6153 13.4785 2112 1 1014 1 1 0 0 1 
-0.160938 0.00824126 795 0 0 8888.89 2.6666 2212 2 1 0 1 1.41363e-25 1.41363e-25 1 
14.711 30.496 800 5.2592 10.7938 -40.85 11.9383 2112 2 1012 1 1 0 0 1 
63.0059 134.457 800 19.6827 41.0076 -35.572 13.3314 2112 2 1014 1 1 0 0 1 
-30.1888 -131.93 800 -25.3452 -111.32 -97.4333 6.83178 2112 2 1040 1 1 0 0 1 
-33.9934 86.2644 800 -34.9256 89.0463 -119.167 6.14722 2112 2 1042 1 1 0 0 1 
-85.1021 91.7682 800 -82.5699 89.2113 -112.229 6.34465 2112 2 1045 1 1 0 0 1 
0.56439 77.7591 800 0.855835 92.6562 -137.559 5.742 2112 2 1046 1 1 0 0 1 
9.35015 6.89625 800 1.49852 1.24969 -18.5185 22.6224 2112 2 1052 1049 1 0 0 1 
-85.273 151.695 800 -116.256 207.204 -157.698 5.46874 2112 2 1056 1 1 0 0 1 
-232.886 -11.3578 800 -299.699 -14.6378 -148.764 5.65023 2212 2 1060 1 1 1.92093e-24 1.92093e-24 1 
-1.72557 41.403 800 -0.118843 2.34483 -6.643 3.45158 11 2 1091 1 1 1.54926e-25 1.54926e-25 1 
2.28936 0.738815 795 0 0 8888.89 2.66651 2212 3 1 0 1 1.41363e-25 1.41363e-25 1 
39.3994 -85.6759 800 33.2563 -77.2272 -86.7083 13.4437 1000020030 3 1014 1 1 1.92974e-22 1.92974e-22 1 
-199.427 -65.7226 800 -48.7647 -16.0678 -23.465 15.9969 2112 3 1021 1 1 0 0 1 
193.343 55.6795 800 59.9458 17.2373 -30.4565 13.0247 2112 3 1023 1 1 0 0 1 
100.679 -35.4811 800 60.1607 -22.1508 -59.3537 8.15644 2112 3 1026 1 1 0 0 1 
-145.025 -116.984 800 -76.304 -60.9775 -50.2753 9.10097 2112 3 1033 1 1 0 0 1 
