# tank_side
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Edep VisibleEdep Ntracks
-102.786 -227.893 827.459 -0.133813 -0.293297 -0.149149 4.08227 12 1 1002 1001 1 0 0 1 
243.343 57.3088 859.607 23.8264 5.67672 -8.21128 35.0546 2112 1 1008 1 1 0 0 1 
-132.697 211.876 964.97 -17.7702 28.2409 2.85488 26.8328 2112 1 1009 1 1 0 0 1 
-31.1635 -248.05 1099.59 -4.17089 -32.1204 20.2964 27.3447 2112 1 1010 1 1 0 0 1 
-229.725 -98.6221 907.574 -41.5471 -17.6819 -6.40263 20.5881 2112 1 1011 1 1 0 0 1 
202.768 146.237 865.693 40.0304 29.0974 -15.3623 18.9855 2112 1 1012 1 1 0 0 1 
-162.485 189.997 1043.5 -36.0171 41.6791 22.0034 17.552 2112 1 1013 1 1 0 0 1 
-184.613 168.576 1160.57 -674.335 616.378 896.257 5.14201 1000010020 2 1010 1 1 4.62041e-25 4.62041e-25 1 
-245.931 -44.9202 874.893 -33.7184 -6.16092 -5.56563 25.9314 2112 2 1011 1 1 0 0 1 
196.317 -154.789 847.674 43.2551 -34.0757 -14.9242 17.3326 2112 2 1013 1 1 0 0 1 
-142.294 205.554 905.085 -33.4368 48.357 -2.44098 16.42 2112 2 1015 1 1 0 0 1 
129.203 -214.025 976.957 31.9511 -52.8611 15.1894 15.7883 2112 2 1016 1 1 0 0 1 
-146.903 202.286 1047.31 -35.9031 49.4935 32.2568 15.9156 2112 2 1017 1 1 0 0 1 
111.502 -223.757 899.412 11.2305 -22.5415 -1.80504 33.9432 2112 2 1020 1018 1 0 0 1 
-168.246 -184.914 1010.3 -50.4814 -55.5296 28.4809 13.5447 2112 2 1022 1 1 0 0 1 
-247.714 -33.732 1031.01 -76.5473 -10.4263 35.7284 13.2481 2112 2 1023 1 1 0 0 1 
147.812 201.622 1121.79 42.7423 58.2455 59.5998 13.974 2112 2 1024 1 1 0 0 1 
217.28 -123.65 913.866 83.6606 -47.5711 -0.613721 11.2589 2112 2 1025 1 1 0 0 1 
7.1264 249.898 887.493 2.81668 96.6873 -10.8206 11.215 2112 2 1026 1 1 0 0 1 
-212.329 131.972 830.584 -78.5987 48.8926 -31.4423 11.5768 2112 2 1027 1 1 0 0 1 
241.739 63.7371 844.529 94.1395 24.7756 -27.6308 11.1767 2112 2 1029 1 1 0 0 1 
34.4434 -247.616 1122.45 3.73265 -21.5706 19.0734 38.9382 2112 2 1036 1034 1 0 0 1 
-106.288 -226.281 908.768 -57.5254 -122.639 -3.6278 8.91283 2112 2 1039 1 1 0 0 1 
-208.667 137.689 920.701 -133.548 88.1949 3.35601 8.03457 2112 2 1043 1 1 0 0 1 
-201.238 148.335 952.441 -129.143 95.2737 23.7497 8.02281 2112 2 1044 1 1 0 0 1 
141.697 -205.966 1102.46 75.7222 -109.941 99.8252 9.03356 2112 2 1047 1 1 0 0 1 
241.856 -63.2918 1022.98 167.376 -43.7644 74.3573 7.69241 2112 2 1053 1 1 0 0 1 
-5.65472 -249.936 992.956 -6.28566 -285.585 88.5518 5.94904 2112 2 1057 1 1 0 0 1 
196.154 154.995 833.667 234.847 185.571 -98.1181 5.83255 2112 2 1058 1 1 0 0 1 
24.5958 248.787 921.252 33.7936 339.714 7.90582 5.51296 2112 2 1059 1 1 0 0 1 
185.358 -167.757 858.28 226.058 -204.245 -70.197 5.77324 2212 2 1061 1 1 9.80663e-25 9.80663e-25 1 
-216.65 124.751 1003.74 -327.31 188.623 133.471 5.32425 2112 2 1062 1 1 0 0 1 
-239.437 -71.9031 1025.05 -362.076 -108.783 165.82 5.333 2112 2 1063 1 1 0 0 1 
-246.215 -43.3391 1014.83 -478.508 -84.256 193.249 4.91509 2112 2 1064 1 1 0 0 1 
-168.905 -184.312 1143.95 -247.614 -270.59 335.295 5.48265 2212 2 1065 1 1 6.28453e-25 6.28453e-25 1 
111.546 223.735 1163.59 206.006 412.653 457.612 5.13676 2112 2 1067 1 1 0 0 1 
249.091 21.3021 994.79 617.553 52.8114 196.553 4.60896 2112 2 1068 1 1 0 0 1 
246.892 39.2994 1144.55 568.401 90.2576 526.852 4.84175 2112 2 1071 1 1 0 0 1 
-90.4806 -233.052 873.473 -317.64 -819.5 -147.655 4.29909 2112 2 1072 1 1 0 0 1 
-247.484 35.3822 1183.43 -611.271 87.301 662.076 4.83059 2212 2 1073 1 1 3.30909e-25 3.30909e-25 1 
-203.503 145.212 830.292 -6.20215 4.35557 -2.6842 108.022 2112 2 1076 1074 1 0 0 1 
-233.227 90.0288 1094.93 -40.4257 15.6715 29.6101 21.1874 2112 2 1078 1074 1 0 0 1 
-97.1804 230.339 923.001 -33.0408 78.7485 -0.486314 12.326 2112 2 1082 1074 1 0 0 1 
148.647 201.007 1011.88 63.9331 86.2836 37.5016 10.4746 2112 2 1083 1074 1 0 0 1 
-243.788 -55.3839 896.093 -148.571 -33.686 -17.2984 8.31364 2112 2 1084 1074 1 0 0 1 
160.088 192.02 895.573 180.931 216.653 -32.5177 6.01763 2112 2 1087 1074 1 0 0 1 
233.084 -90.3993 967.416 257.793 -99.5788 47.4708 6.06406 2212 2 1088 1074 1 1.16292e-24 1.16292e-24 1 
-240.107 69.6324 1152.8 -277.663 80.9185 264.585 6.04355 2112 2 1089 1074 1 0 0 1 
-107.794 225.567 909.348 -7.92728 16.1893 0.884413 46.5401 2112 3 1018 1 1 0 0 1 
164.065 188.634 881.246 27.1647 31.5506 -2.65642 21.6912 2112 3 1019 1 1 0 0 1 
171.734 -181.679 814.82 30.8782 -33.2441 -14.9882 20.2293 2112 3 1020 1 1 0 0 1 
239.335 -72.2408 839.824 69.462 -21.3872 -16.7739 13.7376 2112 3 1024 1 1 0 0 1 
126.843 -215.432 926.864 42.3138 -73.4425 10.1235 12.2721 2112 3 1025 1 1 0 0 1 
-31.4624 -248.012 1002.01 -10.9088 -80.3886 33.9126 12.7495 2112 3 1027 1 1 0 0 1 
-51.5023 -244.638 851.194 -20.3895 -93.0028 -17.386 11.3217 2112 3 1028 1 1 0 0 1 
-249.718 11.8607 1108.85 -77.9665 3.43932 65.5211 13.1988 2112 3 1029 1 1 0 0 1 
-126.267 215.77 917.265 -55.6039 93.001 8.73627 10.3036 2112 3 1032 1 1 0 0 1 
247.5 35.2649 1073.13 88.8409 12.5074 63.7888 11.7183 2112 3 1034 1 1 0 0 1 
17.4414 -249.391 880.504 7.55694 -124.79 -8.26268 9.34654 2112 3 1037 1 1 0 0 1 
-249.503 15.7481 1131.81 -96.2335 5.73448 89.715 11.2895 2112 3 1043 1 1 0 0 1 
248.971 -22.6572 1121.47 104.186 -9.88359 94.7787 10.5128 2112 3 1046 1 1 0 0 1 
-249.958 4.59825 885.373 -166.924 2.55068 -7.73766 7.81939 2112 3 1052 1 1 0 0 1 
178.942 -174.584 1045.23 108.851 -108.037 91.3007 8.18596 2112 3 1053 1 1 0 0 1 
-188.404 164.328 1030.22 -124.33 106.652 86.8112 7.9087 2112 3 1055 1 1 0 0 1 
239.527 -71.6001 919.84 187.163 -57.075 17.968 7.06737 2112 3 1057 1 1 0 0 1 
244.994 -49.7789 1039.55 166.985 -34.7611 98.0353 7.66282 2112 3 1058 1 1 0 0 1 
111.652 223.682 1079.66 6.59484 9.41147 1.25166 123.788 2112 3 1064 1062 1 0 0 1 
-236.829 80.0763 1071.43 -108.539 35.644 79.7412 4.45498 211 3 1068 1 1 2.66813e-25 2.66813e-25 1 
-214.514 128.389 989.132 -131.474 87.5098 53.5692 4.14879 -211 3 1070 1 1 1.99527e-25 1.99527e-25 1 
37.9176 -247.108 1087.75 57.9749 -403.361 310.331 5.2023 2112 3 1072 1 1 0 0 1 
121.317 -218.592 976.081 246.66 -454.545 163.75 4.75516 2112 3 1073 1 1 0 0 1 
46.5532 245.627 1039.15 86.1411 476.614 276.54 4.88154 2112 3 1074 1 1 0 0 1 
173.407 -180.083 1097.85 170.905 -185.937 192.42 4.19686 -211 3 1078 1076 1 1.78389e-25 1.78389e-25 1 
242.586 60.4306 1111.95 621.146 154.288 555.455 4.64162 2112 3 1079 1 1 0 0 1 
-186.756 166.2 898.553 -333.242 291.903 2.01884 3.88747 -211 3 1080 1 1 1.35651e-25 1.35651e-25 1 
74.3969 238.674 1110.34 213.257 703.066 630.22 4.53053 2212 3 1084 1 1 2.80017e-25 2.80017e-25 1 
221.518 -115.887 875.615 40.4439 -21.2409 -9.07883 20.3132 2112 4 1010 1 1 0 0 1 
-186.653 166.315 814.362 -33.0945 29.4266 -19.7189 20.7767 2112 4 1011 1 1 0 0 1 
17.1244 -249.413 1140.88 2.98198 -42.8212 36.9046 21.4358 2112 4 1012 1 1 0 0 1 
